Date,Herramienta
20/04/2023 0:02:58,T9998
20/04/2023 0:08:18,T9998
20/04/2023 0:13:23,T9998
20/04/2023 0:18:43,T9998
20/04/2023 0:23:53,T9998
20/04/2023 0:29:08,T9998
20/04/2023 0:34:18,T9998
20/04/2023 0:39:33,T9998
20/04/2023 0:44:43,T9998
20/04/2023 0:49:53,T9998
20/04/2023 0:54:59,T9998
20/04/2023 1:00:09,T9998
20/04/2023 1:05:14,T9998
20/04/2023 1:10:24,T9998
20/04/2023 1:15:34,T9998
20/04/2023 1:20:34,T9998
20/04/2023 1:25:44,T9998
20/04/2023 1:30:49,T9998
20/04/2023 1:35:54,T9998
20/04/2023 1:40:59,T9998
20/04/2023 1:46:09,T9998
20/04/2023 1:51:19,T9998
20/04/2023 1:56:29,PATRON
20/04/2023 2:01:44,PATRON
20/04/2023 2:06:54,PATRON
20/04/2023 2:11:59,PATRON
20/04/2023 2:17:09,PATRON
20/04/2023 2:22:19,PATRON
20/04/2023 2:27:29,PATRON
20/04/2023 2:32:34,PATRON
20/04/2023 2:37:44,PATRON
20/04/2023 2:42:49,PATRON
20/04/2023 2:47:54,PATRON
20/04/2023 2:53:04,PATRON
20/04/2023 2:58:19,PATRON
20/04/2023 3:03:29,PATRON
20/04/2023 3:08:34,PATRON
20/04/2023 3:13:44,PATRON
20/04/2023 3:18:54,PATRON
20/04/2023 3:24:05,PATRON
20/04/2023 3:29:20,PATRON
20/04/2023 3:34:30,PATRON
20/04/2023 3:39:45,PATRON
20/04/2023 3:44:50,PATRON
20/04/2023 3:50:00,PATRON
20/04/2023 3:55:05,PATRON
20/04/2023 4:00:15,PATRON
20/04/2023 4:05:20,PATRON
20/04/2023 4:10:30,PATRON
20/04/2023 4:15:45,PATRON
20/04/2023 4:20:50,PATRON
20/04/2023 4:26:00,PATRON
20/04/2023 4:31:05,PATRON
20/04/2023 4:36:15,PATRON
20/04/2023 4:41:20,PATRON
20/04/2023 4:46:35,PATRON
20/04/2023 4:51:40,PATRON
20/04/2023 4:56:55,PATRON
20/04/2023 5:02:05,PATRON
20/04/2023 5:07:10,PATRON
20/04/2023 5:12:20,PATRON
20/04/2023 5:17:20,PATRON
20/04/2023 5:22:35,PATRON
20/04/2023 5:27:40,PATRON
20/04/2023 5:32:50,PATRON
20/04/2023 5:38:00,PATRON
20/04/2023 5:43:10,PATRON
20/04/2023 5:48:10,PATRON
20/04/2023 5:53:20,PATRON
20/04/2023 5:58:26,PATRON
20/04/2023 6:03:36,PATRON
20/04/2023 6:08:41,PATRON
20/04/2023 6:13:51,PATRON
20/04/2023 6:19:01,PATRON
20/04/2023 6:24:21,PATRON
20/04/2023 6:29:31,PATRON
20/04/2023 6:34:36,PATRON
20/04/2023 6:39:46,PATRON
20/04/2023 6:44:51,PATRON
20/04/2023 6:50:06,PATRON
20/04/2023 6:55:16,PATRON
20/04/2023 7:00:26,PATRON
20/04/2023 7:05:36,PATRON
20/04/2023 7:10:41,PATRON
20/04/2023 7:15:51,PATRON
20/04/2023 7:20:56,PATRON
20/04/2023 7:26:11,PATRON
20/04/2023 7:31:21,PATRON
20/04/2023 7:36:36,PATRON
20/04/2023 7:41:41,PATRON
20/04/2023 7:46:51,PATRON
20/04/2023 7:52:01,PATRON
20/04/2023 7:57:11,PATRON
20/04/2023 8:02:21,PATRON
20/04/2023 8:07:26,PATRON
20/04/2023 8:12:36,PATRON
20/04/2023 8:17:41,PATRON
20/04/2023 8:22:51,PATRON
20/04/2023 8:27:57,PATRON
20/04/2023 8:33:11,PATRON
20/04/2023 8:38:12,PATRON
20/04/2023 8:43:22,PATRON
20/04/2023 8:48:32,PATRON
20/04/2023 8:53:47,PATRON
20/04/2023 8:59:02,PATRON
20/04/2023 9:04:12,PATRON
20/04/2023 9:09:27,PATRON
