Date,Herramienta
05/05/2023 0:01:36,T8071
05/05/2023 0:06:46,T8071
05/05/2023 0:12:01,T8071
05/05/2023 0:17:06,T8071
05/05/2023 0:22:21,T8071
05/05/2023 0:27:26,T8071
05/05/2023 0:32:36,T8071
05/05/2023 0:37:51,T8071
05/05/2023 0:43:02,T8071
05/05/2023 0:48:12,T8071
05/05/2023 0:53:22,T8071
05/05/2023 0:58:32,T8071
05/05/2023 1:03:37,T8071
05/05/2023 1:08:47,T8071
05/05/2023 1:13:52,T8071
05/05/2023 1:19:02,T8071
05/05/2023 1:24:07,T8027
05/05/2023 1:29:17,T8027
05/05/2023 1:34:27,T8027
05/05/2023 1:39:27,T8027
05/05/2023 1:44:42,T8027
05/05/2023 1:49:47,T8027
05/05/2023 1:54:57,T8027
05/05/2023 2:00:02,T8027
05/05/2023 2:05:17,T8027
05/05/2023 2:10:17,T8027
05/05/2023 2:15:27,T8027
05/05/2023 2:20:37,T8027
05/05/2023 2:25:47,T8027
05/05/2023 2:30:52,T8027
05/05/2023 2:36:02,T8027
05/05/2023 2:41:12,T8027
05/05/2023 2:46:17,T8027
05/05/2023 2:51:22,T8027
05/05/2023 2:56:27,T8027
05/05/2023 3:01:37,T8027
05/05/2023 3:06:47,T8027
05/05/2023 3:11:57,T8027
05/05/2023 3:16:58,T8027
05/05/2023 3:22:07,T8027
05/05/2023 3:27:13,T8027
05/05/2023 3:32:28,T8027
05/05/2023 3:37:43,T8027
05/05/2023 3:42:48,T8027
05/05/2023 3:47:58,T8027
05/05/2023 3:53:03,T8027
05/05/2023 3:58:13,T8027
05/05/2023 4:03:18,T8027
05/05/2023 4:08:33,T8027
05/05/2023 4:13:33,T8027
05/05/2023 4:18:43,T8027
05/05/2023 4:23:58,T8027
05/05/2023 4:29:08,T8027
05/05/2023 4:34:13,T8027
05/05/2023 4:39:18,T8027
05/05/2023 4:44:33,T8027
05/05/2023 4:49:43,T8027
05/05/2023 4:54:58,T8027
05/05/2023 5:00:03,T8027
05/05/2023 5:05:13,T8027
05/05/2023 5:10:18,T8027
05/05/2023 5:15:28,T8027
05/05/2023 5:20:33,T8027
05/05/2023 5:25:43,T8027
05/05/2023 5:30:48,T8027
05/05/2023 5:35:53,T8027
05/05/2023 5:41:03,T8027
05/05/2023 5:46:24,T8027
05/05/2023 5:51:38,T8027
05/05/2023 5:56:44,T8027
05/05/2023 6:01:54,T8027
05/05/2023 6:07:04,T8027
05/05/2023 6:12:19,T8027
05/05/2023 6:17:24,T8027
05/05/2023 6:22:34,T8027
05/05/2023 6:27:44,T8027
05/05/2023 6:32:49,T8027
05/05/2023 6:38:04,T8027
05/05/2023 6:43:09,T8027
05/05/2023 6:48:19,T8027
05/05/2023 6:53:24,T8027
05/05/2023 6:58:39,T8027
05/05/2023 7:03:39,T8027
05/05/2023 7:08:49,T8027
05/05/2023 7:13:54,T8027
05/05/2023 7:19:04,T8027
05/05/2023 7:24:09,T8027
05/05/2023 7:29:24,T8027
05/05/2023 7:34:34,T8027
05/05/2023 7:39:39,T8027
05/05/2023 7:44:49,T8027
05/05/2023 7:49:54,T8027
05/05/2023 7:54:59,T8027
05/05/2023 8:00:04,T8027
05/05/2023 8:05:14,T8027
05/05/2023 8:10:19,T8027
05/05/2023 8:15:29,T8027
05/05/2023 8:20:39,T8027
05/05/2023 8:25:50,T8027
05/05/2023 8:30:55,T8027
05/05/2023 8:36:05,T8183
05/05/2023 8:41:16,T8183
05/05/2023 8:46:20,T8183
05/05/2023 8:51:30,T8183
05/05/2023 8:56:45,T8183
05/05/2023 9:02:00,T8183
05/05/2023 9:07:05,T8183
05/05/2023 9:12:20,T8183
05/05/2023 9:17:25,T8183
05/05/2023 9:22:35,T8183
05/05/2023 9:27:45,T8183
05/05/2023 9:32:50,T8183
05/05/2023 9:38:05,T8167
05/05/2023 9:43:10,T8167
05/05/2023 9:48:20,T8167
05/05/2023 9:53:25,T8167
05/05/2023 9:58:35,T8153
05/05/2023 10:03:40,T8153
05/05/2023 10:08:50,T8153
05/05/2023 10:13:50,T8153
05/05/2023 10:19:00,T8153
05/05/2023 10:24:05,T8153
05/05/2023 10:29:15,T8153
05/05/2023 10:34:25,T8167
05/05/2023 10:39:25,T8167
05/05/2023 10:44:35,T8167
05/05/2023 10:49:40,T8167
05/05/2023 10:54:45,T8153
05/05/2023 10:59:45,T8153
05/05/2023 11:04:56,T8153
05/05/2023 11:10:01,T8153
05/05/2023 11:15:16,T8153
05/05/2023 11:20:26,T8153
05/05/2023 11:25:36,T8153
05/05/2023 11:30:41,T8153
05/05/2023 11:35:46,T8153
05/05/2023 11:40:56,T8153
05/05/2023 11:46:06,T8148
05/05/2023 11:51:16,T8148
05/05/2023 11:56:21,T8148
05/05/2023 12:01:36,T8148
05/05/2023 12:06:41,T8148
05/05/2023 12:11:51,T8148
05/05/2023 12:17:02,T8201
05/05/2023 12:22:16,T8151
05/05/2023 12:27:21,T8151
05/05/2023 12:32:26,T8151
05/05/2023 12:37:31,T8151
05/05/2023 12:42:51,T8151
05/05/2023 12:48:01,T8151
05/05/2023 12:53:06,T8151
05/05/2023 12:58:16,T8151
05/05/2023 13:03:27,T8199
05/05/2023 13:08:37,T8199
05/05/2023 13:13:47,T8199
05/05/2023 13:18:57,T8199
05/05/2023 13:24:02,T8198
05/05/2023 13:29:12,T8198
05/05/2023 13:34:17,T8198
05/05/2023 13:39:22,T8174
05/05/2023 13:44:37,T8174
05/05/2023 13:49:42,T8174
05/05/2023 13:54:47,T8174
05/05/2023 13:59:52,T8174
05/05/2023 14:05:02,T8174
05/05/2023 14:10:07,T8174
05/05/2023 14:15:17,T8174
05/05/2023 14:20:17,T8174
05/05/2023 14:25:27,T8174
05/05/2023 14:30:32,T8174
05/05/2023 14:35:37,T8174
05/05/2023 14:40:47,T8146
05/05/2023 14:45:57,T8146
05/05/2023 14:51:12,T8146
05/05/2023 14:56:22,T8146
05/05/2023 15:01:37,T8146
05/05/2023 15:06:42,T8146
05/05/2023 15:11:57,T8146
05/05/2023 15:17:04,
05/05/2023 15:22:12,
05/05/2023 15:27:18,MM14
05/05/2023 15:32:33,MM14
05/05/2023 15:37:38,PATRON
05/05/2023 15:42:48,
05/05/2023 15:48:05,
05/05/2023 15:53:08,PATRON
