Día Productivo,Turno,Máquina,OF,Cod.Operación,cod_producto,desc_producto,inicio,Fin,Num OFs,Tiempo Plan.,Tiempo Plan.Proceso,Tiempo Real,Sub Área
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 6:00:00,20/04/2023 6:37:19,1,29:00:00,29:00:00,0:37:19,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 6:37:19,20/04/2023 7:21:08,1,29:00:00,29:00:00,0:43:49,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 7:21:08,20/04/2023 7:21:11,1,29:00:00,29:00:00,0:00:03,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 7:21:11,20/04/2023 7:28:05,1,29:00:00,29:00:00,0:06:54,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 7:28:05,20/04/2023 8:25:18,1,29:00:00,29:00:00,0:57:13,Mecanizado
MAÑANA,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 8:25:18,20/04/2023 8:39:00,1,29:00:00,29:00:00,0:13:42,Mecanizado
MAÑANA,DMG 160,4487097,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 8:39:00,20/04/2023 9:39:32,1,1:30:00,1:30:00,1:00:32,Mecanizado
MAÑANA,DMG 160,4487097,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 9:39:32,20/04/2023 9:39:44,1,1:30:00,1:30:00,0:00:12,Mecanizado
MAÑANA,DMG 160,4487097,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 9:39:44,20/04/2023 10:35:25,1,1:30:00,1:30:00,0:55:41,Mecanizado
MAÑANA,DMG 160,4487097,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 10:35:25,20/04/2023 10:38:43,1,1:30:00,1:30:00,0:03:18,Mecanizado
MAÑANA,DMG 160,4487097,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 10:38:43,20/04/2023 10:45:20,1,1:30:00,1:30:00,0:06:37,Mecanizado
MAÑANA,DMG 160,4548153,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 11:29:15,20/04/2023 14:00:00,1,1:30:00,1:30:00,2:30:45,Mecanizado
TARDE,DMG 160,4548153,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 14:00:00,20/04/2023 14:02:08,1,1:30:00,1:30:00,0:02:08,Mecanizado
TARDE,DMG 160,4554131,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 15:37:43,20/04/2023 17:26:43,1,1:30:00,1:30:00,1:49:00,Mecanizado
TARDE,DMG 160,4554130,2900,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP70-MECANIZADO CASQUILLOS / B,20/04/2023 18:32:08,20/04/2023 20:08:45,1,1:30:00,1:30:00,1:36:37,Mecanizado
TARDE,DMG 160,4595712,1600,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",MECANIZADO OP20,20/04/2023 20:08:45,20/04/2023 22:00:00,1,29:00:00,29:00:00,1:51:15,Mecanizado
