Turno,Máquina,OF,Cod.Operación,cod_producto,desc_producto,operación,inicio,Fin,Num OFs,Tiempo Plan.,Tiempo Plan.Proceso,Tiempo Real,Sub Área
MAÑANA,DMG 160,4588634,1600,LV17226,"RING, ASSY REAR MOUNT",*MEC* DMG-OP40-ACABADO / FINISHING MACHI,05/05/2023 6:00:00,05/05/2023 9:10:02,1,5:15:00,5:15:00,3:10:02,Mecanizado
MAÑANA,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 9:10:02,05/05/2023 14:00:00,1,4:00:00,4:00:00,4:49:58,Mecanizado
TARDE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 14:00:00,05/05/2023 15:56:40,1,4:00:00,4:00:00,1:56:40,Mecanizado
TARDE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 15:56:56,05/05/2023 15:58:13,1,4:00:00,4:00:00,0:01:17,Mecanizado
TARDE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 15:58:16,05/05/2023 15:58:23,1,4:00:00,4:00:00,0:00:07,Mecanizado
TARDE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 15:58:36,05/05/2023 22:00:00,1,4:00:00,4:00:00,6:01:24,Mecanizado
NOCHE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,05/05/2023 22:01:02,06/05/2023 6:00:00,1,4:00:00,4:00:00,7:58:58,Mecanizado
FESTIVO,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,06/05/2023 6:01:32,07/05/2023 6:00:00,1,4:00:00,4:00:00,23:58:28,Mecanizado
MAÑANA,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,07/05/2023 6:01:11,07/05/2023 14:00:00,1,4:00:00,4:00:00,7:58:49,Mecanizado
TARDE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,07/05/2023 14:00:48,07/05/2023 22:00:00,1,4:00:00,4:00:00,7:59:12,Mecanizado
NOCHE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,07/05/2023 22:00:00,07/05/2023 22:02:48,1,4:00:00,4:00:00,0:02:48,Mecanizado
NOCHE,DMG 160,4490915,2570,340-002-805-0,"MOYEU 12 BRAS,CARTER INTM",R1.9: MECANIZADO REPROCESO OP30 - OFICIN,07/05/2023 22:02:53,07/05/2023 23:27:26,1,4:00:00,4:00:00,1:24:33,Mecanizado
NOCHE,DMG 160,4588634,1650,LV17226,"RING, ASSY REAR MOUNT",*EC* DMG-OP45: ACABADO / FINISHING MACHI,07/05/2023 23:27:26,08/05/2023 4:47:11,1,3:45:00,3:45:00,5:19:45,Mecanizado
